[TRANSACTION] Estacion (10,14) -> Nave PID 10217 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (10,14) -> Nave PID 10217 | Minerales Recibidos: D:10, M:10, S:10, K:10 | Status: OK
[TRANSACTION] Estacion (10,14) -> Nave PID 10217 | Minerales Recibidos: D:10, M:10, S:10, K:10 | Status: OK
[TRANSACTION] Estacion (10,14) -> Nave PID 10217 | Minerales Recibidos: D:10, M:10, S:10, K:10 | Status: OK
[TRANSACTION] Estacion (1,5) -> Nave PID 11840 | Minerales Recibidos: D:0, M:0, S:0, K:0 | Status: OK
[TRANSACTION] Estacion (1,5) -> Nave PID 11840 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (33,9) -> Nave PID 12750 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (26,11) -> Nave PID 12750 | Minerales Recibidos: D:15, M:15, S:15, K:15 | Status: OK
[TRANSACTION] Estacion (26,11) -> Nave PID 12750 | Minerales Recibidos: D:10, M:10, S:10, K:10 | Status: OK
[TRANSACTION] Estacion (33,9) -> Nave PID 12750 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (31,10) -> Nave PID 13911 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (4,1) -> Nave PID 13911 | Minerales Recibidos: D:10, M:10, S:10, K:10 | Status: OK
[TRANSACTION] Estacion (38,8) -> Nave PID 14503 | Minerales Recibidos: D:10, M:10, S:10, K:10 | Status: OK
[TRANSACTION] Estacion (22,9) -> Nave PID 14503 | Minerales Recibidos: D:10, M:10, S:10, K:10 | Status: OK
[TRANSACTION] Estacion (22,9) -> Nave PID 14503 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (38,8) -> Nave PID 14503 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (22,9) -> Nave PID 14503 | Minerales Recibidos: D:5, M:5, S:0, K:5 | Status: OK
[TRANSACTION] Estacion (22,9) -> Nave PID 14503 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (22,9) -> Nave PID 14503 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (22,9) -> Nave PID 14503 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (22,9) -> Nave PID 14503 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (17,17) -> Nave PID 15482 | Minerales Recibidos: D:10, M:10, S:10, K:10 | Status: OK
[TRANSACTION] Estacion (17,17) -> Nave PID 15482 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (17,17) -> Nave PID 15482 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (17,17) -> Nave PID 15482 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (20,17) -> Nave PID 17312 | Minerales Recibidos: D:10, M:10, S:10, K:10 | Status: OK
[TRANSACTION] Estacion (20,17) -> Nave PID 17312 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (20,17) -> Nave PID 17312 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (20,17) -> Nave PID 17312 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (20,17) -> Nave PID 17312 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (20,17) -> Nave PID 17312 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (20,17) -> Nave PID 19229 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (20,17) -> Nave PID 17312 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (20,17) -> Nave PID 19229 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (20,3) -> Nave PID 10981 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (20,3) -> Nave PID 10981 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (20,3) -> Nave PID 10981 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (20,3) -> Nave PID 10981 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (20,3) -> Nave PID 10981 | Minerales Recibidos: D:5, M:5, S:5, K:5 | Status: OK
[TRANSACTION] Estacion (20,3) -> Nave PID 10981 | Minerales Recibidos: D:20, M:20, S:20, K:20 | Status: OK
[TRANSACTION] Estacion (20,3) -> Nave PID 10981 | Minerales Recibidos: D:5, M:5, S:5, K:0 | Status: OK
[TRANSACTION] Estacion (12,10) -> Nave PID 18365 | Minerales Recibidos: D:10, M:10, S:10, K:10 | Status: OK
